MARRIAGE,accounts,actual_default_rate,predicted_positive_rate,recall,precision
0,7,0.0,0.2857142857142857,0.0,0.0
1,2767,0.24141669678352007,0.23816407661727504,0.5419161676646707,0.5493171471927162
2,3158,0.20487650411652944,0.22735908803039898,0.5517774343122102,0.4972144846796657
3,68,0.17647058823529413,0.25,0.5,0.35294117647058826
