EDUCATION,accounts,actual_default_rate,predicted_positive_rate,recall,precision
0,2,0.0,0.0,0.0,0.0
1,2130,0.19014084507042253,0.1835680751173709,0.5037037037037037,0.5217391304347826
2,2774,0.23648161499639508,0.2581110310021629,0.5777439024390244,0.5293296089385475
3,1014,0.257396449704142,0.28007889546351084,0.5402298850574713,0.4964788732394366
4,26,0.038461538461538464,0.07692307692307693,1.0,0.5
5,45,0.06666666666666667,0.044444444444444446,0.0,0.0
6,9,0.1111111111111111,0.1111111111111111,0.0,0.0
